source,destination,transport_mode,distance_km,weight_kg,weather,traffic,delivery_time_hours,transportation_cost,delay_probability,route_score
Coimbatore,Delhi,Road,2100,500,Clear,High,42,28000,0.25,72
Coimbatore,Delhi,Rail,2200,500,Clear,Low,36,18000,0.12,88
Coimbatore,Delhi,Air,1750,500,Clear,Low,6,65000,0.05,82
Coimbatore,Delhi,Water,2600,500,Clear,Low,72,12000,0.18,65
Chennai,Mumbai,Road,1330,750,Clear,High,28,22000,0.22,74
Chennai,Mumbai,Rail,1270,750,Clear,Low,24,15000,0.10,90
Chennai,Mumbai,Air,1030,750,Rain,Low,4,55000,0.08,84
Chennai,Mumbai,Water,1350,750,Clear,Medium,48,11000,0.16,70
Bangalore,Hyderabad,Road,570,300,Clear,High,12,8500,0.20,78
Bangalore,Hyderabad,Rail,620,300,Clear,Low,14,6000,0.10,86
Bangalore,Hyderabad,Air,500,300,Clear,Low,2,25000,0.04,83
Bangalore,Hyderabad,Water,900,300,Rain,Medium,30,7000,0.25,62
Mumbai,Delhi,Road,1400,600,Clear,High,30,20000,0.24,73
Mumbai,Delhi,Rail,1380,600,Clear,Low,20,14000,0.09,91
Mumbai,Delhi,Air,1150,600,Clear,Low,3,50000,0.04,87
Mumbai,Delhi,Water,1800,600,Rain,Medium,60,10000,0.20,63
Delhi,Kolkata,Road,1500,450,Rain,High,32,21000,0.30,68
Delhi,Kolkata,Rail,1450,450,Clear,Low,26,13000,0.11,89
Delhi,Kolkata,Air,1300,450,Rain,Low,4,48000,0.09,81
Delhi,Kolkata,Water,1700,450,Clear,Medium,55,9000,0.17,66
Coimbatore,Chennai,Road,500,250,Clear,Medium,10,6500,0.12,85
Coimbatore,Chennai,Rail,500,250,Clear,Low,8,4500,0.06,92
Coimbatore,Chennai,Air,430,250,Clear,Low,2,18000,0.03,84
Coimbatore,Chennai,Water,650,250,Rain,Medium,24,5000,0.15,68
Pune,Delhi,Road,1450,800,Clear,High,31,23000,0.26,71
Pune,Delhi,Rail,1450,800,Clear,Low,23,16000,0.11,89
Pune,Delhi,Air,1180,800,Clear,Low,4,52000,0.05,85
Pune,Delhi,Water,1900,800,Rain,Medium,64,11000,0.21,61
Kochi,Delhi,Road,2700,400,Rain,High,52,30000,0.32,65
Kochi,Delhi,Rail,2800,400,Clear,Low,45,19000,0.14,84
Kochi,Delhi,Air,2050,400,Rain,Low,7,70000,0.08,80
Kochi,Delhi,Water,3100,400,Clear,Medium,80,13000,0.19,64
Ahmedabad,Mumbai,Road,530,550,Clear,High,11,8000,0.18,80
Ahmedabad,Mumbai,Rail,490,550,Clear,Low,9,5500,0.07,91
Ahmedabad,Mumbai,Air,440,550,Clear,Low,2,22000,0.03,86
Ahmedabad,Mumbai,Water,700,550,Rain,Medium,26,6500,0.17,67
Jaipur,Delhi,Road,280,350,Clear,High,7,5000,0.14,86
Jaipur,Delhi,Rail,300,350,Clear,Low,6,4000,0.06,93
Jaipur,Delhi,Air,250,350,Clear,Low,1,15000,0.02,88
Jaipur,Delhi,Water,600,350,Rain,Medium,22,6000,0.20,64
Kolkata,Chennai,Road,1670,700,Rain,High,35,24000,0.29,69
Kolkata,Chennai,Rail,1650,700,Clear,Low,30,15000,0.12,87
Kolkata,Chennai,Air,1360,700,Clear,Low,4,58000,0.06,84
Kolkata,Chennai,Water,1700,700,Clear,Medium,58,10000,0.18,65
